2,1,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,120,1
10,3,1,2,3,4,5,6,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2
2,1,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,60,1
2,1,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,2,2,2,2,2,2,2,2,2,2,2,2,180,1
11,3,1,2,3,4,5,6,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,7,8,9,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2
2,1,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,3,3,3,3,3,3,3,3,3,3,3,3,346,1
12,3,1,2,3,4,5,6,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,120,2
2,2,1,2,3,4,5,6,7,8,9,10,11,12,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,4,5,6,7,8,9,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,240,1
13,3,1,2,3,4,5,6,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,7,8,9,10,11,12,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,240,2
2,2,1,2,3,4,5,6,7,8,9,10,11,12,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,120,1
2,2,1,2,3,4,5,6,7,8,9,10,11,12,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,4,5,6,7,8,9,10,11,12,2,2,2,2,2,2,2,2,2,2,2,2,360,1
14,3,1,2,3,4,5,6,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,240,2
2,2,1,2,3,4,5,6,7,8,9,10,11,12,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,4,5,6,7,8,9,10,11,12,3,3,3,3,3,3,3,3,3,3,3,3,120,1
2,1,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,360,1
15,3,1,2,3,4,5,6,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,7,8,9,10,11,12,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,240,2
2,1,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,120,1
16,3,1,2,3,4,5,6,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,600,2
2,1,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,2,2,2,2,2,2,2,2,2,2,2,2,120,1
17,3,1,2,3,4,5,6,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,7,8,9,10,11,12,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,660,2
2,1,1,2,3,4,5,6,7,8,9,10,11,12,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,3,3,3,3,3,3,3,3,3,3,3,3,60,1
